name,description,price,stock,images
Smartphone Galaxy S23,Smartphone Samsung Galaxy S23 128GB 5G com câmera tripla de 50MP,299990,50,https://images.unsplash.com/photo-1610945415295-d9bbf067e59c https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
Notebook Dell Inspiron,Notebook Dell Inspiron 15 Intel Core i7 16GB RAM 512GB SSD,449990,30,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed https://images.unsplash.com/photo-1496181133206-80ce9b88a853
Fone de Ouvido JBL,Fone de Ouvido JBL Bluetooth com Cancelamento de Ruído,39990,100,https://images.unsplash.com/photo-1505740420928-5e560c06d30e https://images.unsplash.com/photo-1484704849700-f032a568e944
Smart TV LG 55 polegadas,Smart TV LG 55 polegadas 4K UHD com ThinQ AI e WebOS,279990,25,https://images.unsplash.com/photo-1593784991095-a205069470b6 https://images.unsplash.com/photo-1593359677879-a4bb92f829d1
Cadeira Gamer DXRacer,Cadeira Gamer DXRacer com Suporte Lombar e Ajuste de Altura,149990,40,https://images.unsplash.com/photo-1598550476439-6847785fcea6 https://images.unsplash.com/photo-1580480055273-228ff5388ef8
Produto de teste,,9990,5,https://images.unsplash.com/photo-1505740420928-5e560c06d30e
Mouse Logitech MX Master 3,Mouse Sem Fio Logitech MX Master 3 com Sensor Darkfield 4000 DPI,54990,80,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46 https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
Teclado Mecânico Keychron K8,Teclado Mecânico Keychron K8 Wireless RGB Hot-Swappable,69990,60,https://images.unsplash.com/photo-1587829741301-dc798b83add3 https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
Webcam Logitech C920,Webcam Logitech C920 Full HD 1080p com Microfone Estéreo,49990,70,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04 https://images.unsplash.com/photo-1614624532983-4ce03382d63d
SSD Kingston 1TB,SSD Kingston NVMe M.2 1TB com Velocidade de Leitura 3500MB/s,59990,90,https://images.unsplash.com/photo-1597872200969-2b65d56bd16b https://images.unsplash.com/photo-1531492746076-161ca9bcad58
